#batch_size	mean_ms	stddev_ms	throughput_samples_per_sec	sigma_throughput
1	6.99533	0.344359	146383	7206.03
2	3.94656	0.217921	259467	14327.2
4	2.09448	0.134782	488905	31461.6
8	1.30373	0.101633	785439	61229.2
16	0.81544	0.0704248	1.25576e+06	108453
32	0.557019	0.0522913	1.83836e+06	172580
64	0.455621	0.0428766	2.24748e+06	211501
128	0.390766	0.0463254	2.62049e+06	310660
256	0.3644	0.0462595	2.8101e+06	356735
512	0.325596	0.0351655	3.14501e+06	339672
1024	0.408579	0.0433446	2.50625e+06	265879
